Time,Bus1_Va,Bus1_Vb,Bus1_Vc,Bus1_Ia,Bus1_Ib,Bus1_Ic,Bus2_Va,Bus2_Vb,Bus2_Vc,Bus2_Ia,Bus2_Ib,Bus2_Ic,Bus3_Va,Bus3_Vb,Bus3_Vc,Bus3_Ia,Bus3_Ib,Bus3_Ic
3.3,1.04062427512462e-09,-17677.6695296635,17677.6695296625,-880056.019304606,40131.3313656619,839924.687939049,-1162.27538056045,-507.576883679583,1669.85226424017,-436772.512284556,49943.5159135022,386828.996371106,-2322.37104021732,-1164.73813498299,3487.10917520059,-443283.507020049,-9812.18454784024,453095.691567942
3.4,-1.60007403718601e-09,-17677.6695296622,17677.6695296638,-880056.019304629,40131.3313654538,839924.68793928,-1162.27538056052,-507.576883679648,1669.8522642403,-436772.512284571,49943.515913408,386828.996371215,-2322.37104021746,-1164.73813498315,3487.10917520088,-443283.507020058,-9812.1845479542,453095.691568065
3.5,-4.24077234949664e-09,-17677.6695296609,17677.6695296651,-880056.01930471,40131.3313656957,839924.687939119,-1162.27538056073,-507.576883679402,1669.85226424026,-436772.51228461,49943.5159135271,386828.996371135,-2322.37104021792,-1164.73813498258,3487.10917520078,-443283.5070201,-9812.18454783142,453095.691567984
3.6,-2.24022494699804e-09,-17677.6695296619,17677.6695296641,-880056.019304516,40131.3313655394,839924.687939081,-1162.27538056063,-507.576883679467,1669.85226424024,-436772.512284525,49943.5159134515,386828.996371125,-2322.37104021764,-1164.73813498282,3487.10917520073,-443283.507019991,-9812.1845479121,453095.691567956
3.7,-2.39677544499435e-10,-17677.6695296629,17677.6695296631,-880056.019304751,40131.3313656656,839924.68793919,-1162.27538056071,-507.576883679531,1669.85226424038,-436772.512284618,49943.5159135058,386828.996371164,-2322.37104021791,-1164.73813498279,3487.10917520097,-443283.507020133,-9812.18454784017,453095.691568026
3.8,-2.88037585681007e-09,-17677.6695296616,17677.6695296644,-880056.019304639,40131.3313656513,839924.687939092,-1162.27538056068,-507.576883679418,1669.85226424023,-436772.512284575,49943.5159135106,386828.996371115,-2322.37104021776,-1164.73813498263,3487.10917520067,-443283.507020065,-9812.18454785929,453095.691567977
3.9,-8.79828454311463e-10,-17677.6695296626,17677.6695296634,-880056.019304716,40131.3313655515,839924.687939269,-1162.2753805606,-507.576883679547,1669.85226424029,-436772.512284609,49943.5159134552,386828.996371206,-2322.3710402177,-1164.7381349829,3487.10917520088,-443283.507020107,-9812.18454790374,453095.691568063
4,-3.5205267666221e-09,-17677.6695296612,17677.6695296648,-880056.019304652,40131.3313657243,839924.687939032,-1162.27538056081,-507.576883679257,1669.8522642402,-436772.51228458,49943.5159135449,386828.996371087,-2322.37104021803,-1164.73813498232,3487.10917520062,-443283.507020071,-9812.18454782058,453095.691567945
4.1,-1.51997936412349e-09,-17677.6695296622,17677.6695296638,-880056.01930469,40131.3313654487,839924.687939346,-1162.27538056047,-507.576883679921,1669.85226424053,-436772.512284615,49943.5159133947,386828.996371273,-2322.37104021737,-1164.73813498363,3487.10917520127,-443283.507020074,-9812.184547946,453095.691568073
4.2,-4.16067767643412e-09,-17677.6695296609,17677.6695296651,-880056.019304459,40131.3313655414,839924.687939023,-1162.27538056058,-507.576883679565,1669.85226424028,-436772.512284491,49943.515913455,386828.996371088,-2322.37104021757,-1164.73813498292,3487.10917520077,-443283.507019969,-9812.18454791357,453095.691567935
4.3,-6.80137598874476e-09,-17677.6695296596,17677.6695296664,-880056.019304674,40131.3313659062,839924.687938873,-1162.27538056087,-507.576883679084,1669.85226424009,-436772.512284588,49943.5159136311,386828.996371009,-2322.3710402182,-1164.73813498195,3487.10917520042,-443283.507020086,-9812.18454772484,453095.691567864
4.4,-1.59582871436916e-10,-17677.6695296629,17677.6695296631,-880056.019304528,40131.3313655417,839924.687939091,-1162.27538056062,-507.576883679674,1669.85226424043,-436772.512284522,49943.5159134404,386828.996371134,-2322.37104021765,-1164.73813498315,3487.10917520107,-443283.507020006,-9812.18454789873,453095.691567957
4.5,-2.80028118374755e-09,-17677.6695296616,17677.6695296644,-880056.01930467,40131.3313657001,839924.687939074,-1162.27538056065,-507.576883679474,1669.85226424027,-436772.512284595,49943.515913536,386828.996371111,-2322.3710402177,-1164.73813498271,3487.10917520069,-443283.507020075,-9812.18454783592,453095.691567964
4.6,-7.99733781248944e-10,-17677.6695296626,17677.6695296634,-880056.019304573,40131.3313654355,839924.687939242,-1162.27538056053,-507.576883679653,1669.85226424032,-436772.512284549,49943.515913414,386828.996371187,-2322.37104021747,-1164.7381349831,3487.10917520085,-443283.507020023,-9812.1845479785,453095.691568055
4.7,-3.44043209355958e-09,-17677.6695296613,17677.6695296647,-880056.019304577,40131.3313655806,839924.687939101,-1162.27538056062,-507.576883679558,1669.85226424031,-436772.512284558,49943.5159134771,386828.996371132,-2322.37104021764,-1164.73813498291,3487.10917520082,-443283.507020019,-9812.18454789657,453095.691567968
4.8,3.20136102374826e-09,-17677.6695296646,17677.6695296614,-880056.019304648,40131.3313655046,839924.687939248,-1162.27538056042,-507.576883679808,1669.85226424037,-436772.512284576,49943.5159134221,386828.996371206,-2322.37104021731,-1164.7381349834,3487.10917520098,-443283.507020072,-9812.1845479175,453095.691568043
4.9,5.60662711437632e-10,-17677.6695296633,17677.6695296627,-880056.01930463,40131.3313656748,839924.687939059,-1162.2753805606,-507.576883679343,1669.85226424008,-436772.512284576,49943.5159135144,386828.996371113,-2322.37104021767,-1164.73813498255,3487.10917520049,-443283.507020054,-9812.18454783961,453095.691567946
5,-2.080035600873e-09,-17677.669529662,17677.669529664,-880056.019304655,40131.3313657535,839924.687939007,-1162.27538056096,-507.576883679085,1669.85226424018,-436772.512284587,49943.5159135591,386828.996371079,-2322.37104021838,-1164.73813498199,3487.10917520065,-443283.507020069,-9812.1845478056,453095.691567927
